Model,Accuracy,ROC-AUC,F1-score
XGBoost,0.866401458644124,0.9254320951010365,0.7104885057471264
LogisticRegression,0.8475053870379579,0.9021980844491608,0.6639883126369612
RandomForest,0.8488314271506713,0.9007333266525234,0.673352435530086
DecisionTree,0.8448533068125311,0.8894945781112567,0.6201298701298701
